Partie,Nb joueurs,Date,Extension,Joueur,Ville,Côté,Rouge,Argent,Merveille,Bleu,Jaune,Violet,Vert,Leaders,Total,Rang,Rang relatif,Vainqueur
1,4,,base,S,,,1,4,10,5,7,0,10,,37,4,100%,0
1,4,,base,L,,,-6,3,10,13,0,7,13,,40,3,67%,0
1,4,,base,C,,,13,1,10,9,3,9,4,,49,2,33%,0
1,4,,base,A,,,12,1,10,26,3,9,0,,61,1,0%,1
2,5,24/10/2015,base,A,,,-5,3,10,12,0,9,21,,50,3,50%,0
2,5,24/10/2015,base,S,,,16,1,10,8,4,12,9,,60,1,0%,1
2,5,24/10/2015,base,L,,,1,2,10,4,0,0,26,,43,4,75%,0
2,5,24/10/2015,base,C,,,2,4,10,4,3,18,1,,42,5,100%,0
2,5,24/10/2015,base,Y,,,16,5,10,17,9,0,0,,57,2,25%,0
3,4,,base,Y,,,8,1,10,0,4,0,18,,41,4,100%,0
3,4,,base,S,,,13,5,10,6,4,6,1,,45,3,67%,0
3,4,,base,A,,,-6,2,15,17,3,15,4,,50,2,33%,0
3,4,,base,C,,,7,2,10,12,0,7,18,,56,1,0%,1
4,5,,base,A,,,9,3,10,17,0,4,4,,47,4,75%,0
4,5,,base,L,,,5,2,15,21,0,6,1,,50,3,50%,0
4,5,,base,S,,,-2,5,10,2,3,14,18,,50,2,25%,0
4,5,,base,C,,,17,5,10,0,6,0,18,,56,1,0%,1
4,5,,base,Y,,,-3,1,10,21,4,0,2,,35,5,100%,0
5,4,,base,A,,,8,7,10,3,0,6,26,,60,2,33%,0
5,4,,base,L,,,0,0,10,12,3,11,10,,46,4,100%,0
5,4,,base,C,,,16,3,10,9,6,17,0,,61,1,0%,1
5,4,,base,Y,,,0,3,10,29,5,0,1,,48,3,67%,0
6,5,,base,S,,,-4,3,10,0,0,13,13,,35,5,100%,0
6,5,,base,A,,,18,2,10,15,0,18,0,,63,1,0%,1
6,5,,base,C,,,-4,0,10,16,3,0,13,,38,4,75%,0
6,5,,base,L,,,5,4,10,16,3,0,16,,54,3,50%,0
6,5,,base,Y,,,7,3,10,5,0,22,10,,57,2,25%,0
7,5,,base,S,,,-6,1,15,35,0,0,0,,45,5,100%,0
7,5,,base,C,,,18,2,10,7,4,8,2,,51,2,25%,0
7,5,,base,L,,,2,1,10,10,0,7,18,,48,3,50%,0
7,5,,base,A,,,-4,6,10,0,0,6,36,,54,1,0%,1
7,5,,base,Clara,,,15,4,3,5,12,7,0,,46,4,75%,0
8,5,,base,S,,,15,5,10,19,0,16,0,,65,1,0%,1
8,5,,base,Y,,,10,3,10,0,3,6,18,,50,3,50%,0
8,5,,base,L,,,-5,6,15,29,5,0,0,,50,2,25%,0
8,5,,base,A,,,-2,3,10,7,2,10,10,,40,5,100%,0
8,5,,base,C,,,12,4,10,0,6,0,13,,45,4,75%,0
9,5,,base,A,,,-5,4,10,5,3,0,26,,43,5,100%,0
9,5,,base,S,,,16,1,15,21,0,19,0,,72,1,0%,1
9,5,,base,L,,,-5,5,10,6,2,0,36,,54,4,75%,0
9,5,,base,C,,,6,2,10,0,0,7,26,,51,3,50%,0
9,5,,base,Y,,,18,6,10,13,3,15,0,,65,2,25%,0
10,5,,base,A,,,12,6,10,15,5,8,0,,56,2,25%,0
10,5,,base,S,,,-6,3,10,26,6,0,1,,40,5,100%,0
10,5,,base,C,,,6,1,10,4,1,0,38,,60,1,0%,1
10,5,,base,L,,,6,2,10,6,0,7,16,,47,4,75%,0
10,5,,base,Y,,,8,1,10,6,0,6,18,,49,3,50%,0
11,5,,base,A,,,12,6,10,15,5,8,0,,56,2,25%,0
11,5,,base,S,,,-6,3,10,26,6,0,1,,40,5,100%,0
11,5,,base,C,,,6,1,10,4,1,0,38,,60,1,0%,1
11,5,,base,L,,,6,2,10,6,0,7,16,,47,4,75%,0
11,5,,base,Y,,,8,1,10,6,0,6,18,,49,3,50%,0
12,6,,base,L,,,-6,1,10,0,0,0,64,,69,1,0%,1
12,6,,base,C,,,18,5,10,3,8,10,2,,56,3,40%,0
12,6,,base,A,,,-4,6,15,15,0,0,10,,42,5,80%,0
12,6,,base,Bruno,,,4,2,10,20,2,0,1,,39,6,100%,0
12,6,,base,S,,,3,3,10,20,0,17,0,,53,4,60%,0
12,6,,base,Y,,,13,2,10,17,0,18,0,,60,2,20%,0
13,4,,base,C,,,-2,1,10,21,0,0,18,,48,4,100%,0
13,4,,base,Y,,,7,4,15,21,0,9,0,,56,2,33%,0
13,4,,base,L,,,0,2,10,21,0,19,0,,52,3,67%,0
13,4,,base,A,,,7,6,10,0,8,0,26,,57,1,0%,1
14,4,,base,C,,,2,5,10,0,0,6,25,,48,2,33%,0
14,4,,base,A,,,-5,5,15,11,0,0,16,,42,4,100%,0
14,4,,base,L,,,18,2,10,0,3,26,1,,60,1,0%,1
14,4,,base,Y,,,2,1,10,32,0,0,1,,46,3,67%,0
15,4,,base,C,,,18,1,10,14,4,8,10,,65,1,0%,1
15,4,,base,A,,,5,1,10,5,4,4,10,,39,4,100%,0
15,4,,base,L,,,-4,6,10,14,0,0,20,,46,3,67%,0
15,4,,base,Y,,,5,2,15,22,2,9,0,,55,2,33%,0
16,4,,base,A,olympe,a,14,2,10,0,4,16,1,,47,4,100%,0
16,4,,base,C,ephèse,a,8,3,10,16,0,8,5,,50,3,67%,0
16,4,,base,S,babylone,a,-2,2,10,0,7,5,31,,53,2,33%,0
16,4,,base,Y,alexandrie,a,4,4,10,28,0,7,0,,53,1,0%,1
17,5,,base,S,olympe,a,15,1,10,25,3,0,0,,54,2,25%,0
17,5,,base,C,babylone,a,-3,5,10,0,6,0,26,,44,4,75%,0
17,5,,base,A,gizah,a,8,8,15,8,8,10,0,,57,1,0%,1
17,5,,base,L,rhodes,a,9,0,10,7,0,9,10,,45,3,50%,0
17,5,,base,Y,halikarnasse,a,-5,3,10,26,2,6,1,,43,5,100%,0
18,5,,base,S,alexandrie,a,10,1,10,0,0,14,13,,48,4,75%,0
18,5,,base,C,rhodes,a,6,2,10,15,3,0,10,,46,5,100%,0
18,5,,base,A,olympe,a,8,6,10,15,0,23,0,,62,1,0%,1
18,5,,base,L,ephèse,a,0,4,10,0,3,13,26,,56,2,25%,0
18,5,,base,Y,gizah,a,4,2,8,41,0,0,0,,55,3,50%,0
19,5,,base,A,ephèse,b,8,6,10,18,0,19,4,,65,1,0%,1
19,5,,base,C,babylone,b,6,4,3,6,3,0,36,,58,3,50%,0
19,5,,base,S,gizah,b,11,7,20,3,13,7,0,,61,2,25%,0
19,5,,base,L,olympe,a,3,4,10,23,3,8,0,,51,4,75%,0
19,5,,base,Y,alexandrie,b,-2,0,7,21,0,0,18,,44,5,100%,0
20,5,11/11/2015,base,A,olympe,a,-5,8,10,15,7,0,13,,48,3,50%,0
20,5,11/11/2015,base,S,ephèse,b,5,6,10,20,7,0,5,,53,2,25%,0
20,5,11/11/2015,base,Damien,babylone,a,7,1,10,3,0,0,26,,47,5,100%,0
20,5,11/11/2015,base,L,rhodes,b,12,4,7,14,4,6,0,,47,4,75%,0
20,5,11/11/2015,base,C,gizah,a,7,4,15,8,0,8,13,,55,1,0%,1
23,5,15/11/2015,base,A,halikarnasse,b,17,8,3,0,6,28,2,,64,1,0%,1
23,5,15/11/2015,base,S,alexandrie,b,-4,4,7,14,0,7,18,,46,4,75%,0
23,5,15/11/2015,base,C,olympe,b,12,0,5,11,0,0,10,,38,5,100%,0
23,5,15/11/2015,base,L,rhodes,b,11,4,7,25,2,0,0,,49,3,50%,0
23,5,15/11/2015,base,Y,gizah,b,-6,4,20,24,0,10,0,,52,2,25%,0
21,3,14/11/2015,base,A,alexandrie,a,-5,3,10,21,0,0,21,,50,3,100%,0
21,3,14/11/2015,base,L,gizah,b,8,5,20,6,8,14,0,,61,1,0%,1
21,3,14/11/2015,base,C,rhodes,b,15,1,3,10,0,7,18,,54,2,50%,0
22,4,14/11/2015,base,L,ephèse,b,3,1,10,10,0,0,26,,50,2,33%,0
22,4,14/11/2015,base,A,alexandrie,b,3,10,7,12,8,15,1,,56,1,0%,1
22,4,14/11/2015,base,S,babylone,b,7,2,3,7,10,10,10,,49,3,67%,0
22,4,14/11/2015,base,C,rhodes,a,5,3,3,12,4,0,21,,48,4,100%,0
24,3,15/11/2015,base,A,ephèse,b,-5,8,10,12,3,8,10,,46,3,100%,0
24,3,15/11/2015,base,C,halikarnasse,a,18,1,10,5,0,0,31,,65,1,0%,1
24,3,15/11/2015,base,Y,gizah,b,5,0,20,21,0,0,1,,47,2,50%,0
25,5,15/11/2015,base,C,gizah,a,6,1,15,13,3,5,10,,53,3,50%,0
25,5,15/11/2015,base,A,alexandrie,b,16,4,7,24,0,0,10,,61,2,25%,0
25,5,15/11/2015,base,L,olympe,b,-5,6,5,11,8,7,10,,42,4,75%,0
25,5,15/11/2015,base,S,halikarnasse,b,18,2,3,12,0,24,5,,64,1,0%,1
25,5,15/11/2015,base,Y,babylone,b,-5,2,3,8,0,0,34,,42,5,100%,0
26,7,21/11/2015,base,Julien B,rhodes,a,16,7,10,2,12,7,0,,54,5,67%,0
26,7,21/11/2015,base,Claire B,olympe,a,6,5,10,29,3,10,0,,63,4,50%,0
26,7,21/11/2015,base,A,ephèse,a,-5,7,10,19,0,12,13,,56,3,33%,0
26,7,21/11/2015,base,S,gizah,a,8,0,15,21,0,25,0,,69,1,0%,1
26,7,21/11/2015,base,L,alexandrie,a,4,0,10,7,0,0,18,,39,7,100%,0
26,7,21/11/2015,base,Claude B,halikarnasse,a,18,3,10,22,0,2,10,,65,2,17%,0
26,7,21/11/2015,base,Y,babylone,a,-5,7,10,0,5,5,18,,40,6,83%,0
27,5,22/11/2015,base,L,babylone,A,-6,4,10,0,4,15,25,,52,3,50%,0
27,5,22/11/2015,base,A,rhodes,a,14,5,10,18,5,0,0,,52,2,25%,0
27,5,22/11/2015,base,S,alexandrie,a,2,5,7,7,0,12,16,,49,5,100%,0
27,5,22/11/2015,base,C,gizah,b,10,2,20,6,4,0,10,,52,4,75%,0
27,5,22/11/2015,base,Y,ephèse,b,8,4,10,26,0,7,2,,57,1,0%,1
28,4,22/11/2015,base,C,babylone,a,10,4,10,3,0,12,18,,57,1,0%,1
28,4,22/11/2015,base,L,olympe,b,9,3,5,16,7,16,0,,56,2,33%,0
28,4,22/11/2015,base,A,gizah,a,-4,4,10,14,3,0,16,,43,4,100%,0
28,4,22/11/2015,base,Y,halikarnasse,a,9,0,10,18,0,8,10,,55,3,67%,0
29,4,23/11/2015,base,S,ephèse,a,-3,6,10,6,3,0,25,,47,3,67%,0
29,4,23/11/2015,base,A,alexandrie,b,15,3,7,15,4,14,0,,58,1,0%,1
29,4,23/11/2015,base,L,babylone,a,-5,6,3,16,8,6,13,,47,4,100%,0
29,4,23/11/2015,base,Y,olympe,a,17,0,10,13,2,0,10,,52,2,33%,0
30,4,28/11/2015,base,C,olympe,a,18,1,10,7,0,31,4,,71,1,0%,1
30,4,28/11/2015,base,A,babylone,b,-6,1,3,5,0,6,38,,47,3,67%,0
30,4,28/11/2015,base,L,gizah,b,12,2,20,22,4,0,0,,60,2,33%,0
30,4,28/11/2015,base,Y,alexandrie,b,-5,4,7,18,7,0,13,,44,4,100%,0
31,3,28/11/2015,base,A,babylone,b,-5,0,3,4,0,6,55,,63,1,0%,1
31,3,28/11/2015,base,Y,ephèse,b,5,7,10,25,4,0,10,,61,2,50%,0
31,3,28/11/2015,base,C,rhodes,b,18,3,7,19,4,8,1,,60,3,100%,0
32,3,28/11/2015,base,A,gizah,a,8,7,15,14,7,0,0,,51,3,100%,0
32,3,28/11/2015,base,Y,halikarnasse,b,15,1,2,29,0,7,1,,55,2,50%,0
32,3,28/11/2015,base,C,ephèse,b,-5,4,10,6,0,0,55,,70,1,0%,1
33,4,29/11/2015,base,L,rhodes,b,18,4,7,8,3,12,13,,65,2,33%,0
33,4,29/11/2015,base,C,halikarnasse,a,-6,5,10,12,6,0,18,,45,3,67%,0
33,4,29/11/2015,base,A,gizah,a,18,3,15,11,5,14,0,,66,1,0%,1
33,4,29/11/2015,base,Y,ephèse,b,-6,4,10,12,0,5,16,,41,4,100%,0
34,3,05/12/2015,base,S,alexandrie,a,9,4,10,24,3,11,0,,61,2,50%,0
34,3,05/12/2015,base,A,olympe,a,7,1,0,4,0,16,36,,64,1,0%,1
34,3,05/12/2015,base,Y,babylone,a,2,1,10,16,3,0,10,,42,3,100%,0
35,3,05/12/2015,base,S,rhodes,b,-1,3,3,2,3,6,36,,52,1,0%,1
35,3,05/12/2015,base,A,babylone,b,13,1,3,9,0,6,18,,50,2,50%,0
35,3,05/12/2015,base,Y,halikarnasse,b,2,3,3,30,4,7,0,,49,3,100%,0
36,4,05/12/2015,base,C,babylone,b,-5,5,3,22,3,11,10,,49,3,67%,0
36,4,05/12/2015,base,A,rhodes,b,18,4,7,9,5,15,0,,58,1,0%,1
